season,player,team,tenure_years
2015,KA Pollard,Mumbai Indians,6
2016,KA Pollard,Mumbai Indians,7
2017,KA Pollard,Mumbai Indians,8
2018,KA Pollard,Mumbai Indians,9
2019,KA Pollard,Mumbai Indians,10
2020,KA Pollard,Mumbai Indians,11
2021,KA Pollard,Mumbai Indians,12
2022,KA Pollard,Mumbai Indians,13
2010,KAJ Roach,Deccan Chargers,1
2010,KB Arun Karthik,Chennai Super Kings,1
2011,KB Arun Karthik,Royal Challengers Bengaluru,1
2013,KB Arun Karthik,Royal Challengers Bengaluru,1
2015,KC Cariappa,Kolkata Knight Riders,1
2016,KC Cariappa,Punjab Kings,1
2017,KC Cariappa,Punjab Kings,2
2019,KC Cariappa,Kolkata Knight Riders,1
2008,KC Sangakkara,Punjab Kings,1
2009,KC Sangakkara,Punjab Kings,2
2010,KC Sangakkara,Punjab Kings,3
2011,KC Sangakkara,Deccan Chargers,1
2012,KC Sangakkara,Deccan Chargers,2
2013,KC Sangakkara,Sunrisers Hyderabad,1
2008,KD Karthik,Delhi Capitals,1
2009,KD Karthik,Delhi Capitals,2
2010,KD Karthik,Delhi Capitals,3
2011,KD Karthik,Punjab Kings,1
2012,KD Karthik,Mumbai Indians,1
2013,KD Karthik,Mumbai Indians,2
2014,KD Karthik,Delhi Capitals,1
2015,KD Karthik,Royal Challengers Bengaluru,1
2016,KD Karthik,Gujarat Lions,1
2017,KD Karthik,Gujarat Lions,2
2018,KD Karthik,Kolkata Knight Riders,1
2019,KD Karthik,Kolkata Knight Riders,2
2020,KD Karthik,Kolkata Knight Riders,3
2021,KD Karthik,Kolkata Knight Riders,4
2022,KD Karthik,Royal Challengers Bengaluru,1
2023,KD Karthik,Royal Challengers Bengaluru,2
2024,KD Karthik,Royal Challengers Bengaluru,3
2016,KH Pandya,Mumbai Indians,1
2017,KH Pandya,Mumbai Indians,2
2018,KH Pandya,Mumbai Indians,3
2019,KH Pandya,Mumbai Indians,4
2020,KH Pandya,Mumbai Indians,5
2021,KH Pandya,Mumbai Indians,6
2022,KH Pandya,Lucknow Super Giants,1
2023,KH Pandya,Lucknow Super Giants,2
2024,KH Pandya,Lucknow Super Giants,3
2025,KH Pandya,Royal Challengers Bengaluru,1
2016,KJ Abbott,Punjab Kings,1
2018,KK Ahmed,Sunrisers Hyderabad,1
2019,KK Ahmed,Sunrisers Hyderabad,2
2020,KK Ahmed,Sunrisers Hyderabad,3
2021,KK Ahmed,Sunrisers Hyderabad,4
2022,KK Ahmed,Delhi Capitals,1
2023,KK Ahmed,Delhi Capitals,2
2024,KK Ahmed,Delhi Capitals,3
2025,KK Ahmed,Chennai Super Kings,1
2012,KK Cooper,Rajasthan Royals,1
2013,KK Cooper,Rajasthan Royals,2
2014,KK Cooper,Rajasthan Royals,3
2013,KK Nair,Royal Challengers Bengaluru,1
2014,KK Nair,Rajasthan Royals,1
2015,KK Nair,Rajasthan Royals,2
2016,KK Nair,Delhi Capitals,1
2017,KK Nair,Delhi Capitals,2
2018,KK Nair,Punjab Kings,1
2019,KK Nair,Punjab Kings,2
2020,KK Nair,Punjab Kings,3
2022,KK Nair,Rajasthan Royals,1
2025,KK Nair,Delhi Capitals,1
2020,KL Nagarkoti,Kolkata Knight Riders,1
2021,KL Nagarkoti,Kolkata Knight Riders,2
2022,KL Nagarkoti,Delhi Capitals,1
2013,KL Rahul,Royal Challengers Bengaluru,1
2014,KL Rahul,Sunrisers Hyderabad,1
2015,KL Rahul,Sunrisers Hyderabad,2
2016,KL Rahul,Royal Challengers Bengaluru,1
2018,KL Rahul,Punjab Kings,1
2019,KL Rahul,Punjab Kings,2
2020,KL Rahul,Punjab Kings,3
2021,KL Rahul,Punjab Kings,4
2022,KL Rahul,Lucknow Super Giants,1
2023,KL Rahul,Lucknow Super Giants,2
2024,KL Rahul,Lucknow Super Giants,3
2025,KL Rahul,Delhi Capitals,1
2018,KM Asif,Chennai Super Kings,1
2021,KM Asif,Chennai Super Kings,1
2023,KM Asif,Rajasthan Royals,1
2010,KM Jadhav,Delhi Capitals,1
2011,KM Jadhav,Kochi Tuskers Kerala,1
2013,KM Jadhav,Delhi Capitals,1
2014,KM Jadhav,Delhi Capitals,2
2015,KM Jadhav,Delhi Capitals,3
2016,KM Jadhav,Royal Challengers Bengaluru,1
2017,KM Jadhav,Royal Challengers Bengaluru,2
2018,KM Jadhav,Chennai Super Kings,1
2019,KM Jadhav,Chennai Super Kings,2
2020,KM Jadhav,Chennai Super Kings,3
2021,KM Jadhav,Sunrisers Hyderabad,1
2023,KM Jadhav,Royal Challengers Bengaluru,1
2019,KMA Paul,Delhi Capitals,1
2011,KMDN Kulasekara,Chennai Super Kings,1
2012,KMDN Kulasekara,Chennai Super Kings,2
2009,KP Appanna,Royal Challengers Bengaluru,1
2010,KP Appanna,Royal Challengers Bengaluru,2
2012,KP Appanna,Royal Challengers Bengaluru,1
2009,KP Pietersen,Royal Challengers Bengaluru,1
2010,KP Pietersen,Royal Challengers Bengaluru,2
2012,KP Pietersen,Delhi Capitals,1
2014,KP Pietersen,Delhi Capitals,1
2016,KP Pietersen,Rising Pune Supergiant,1
2023,KR Mayers,Lucknow Super Giants,1
2022,KR Sen,Rajasthan Royals,1
2023,KR Sen,Rajasthan Royals,2
2024,KR Sen,Rajasthan Royals,3
2021,KS Bharat,Royal Challengers Bengaluru,1
2022,KS Bharat,Delhi Capitals,1
2025,KS Rathore,Rajasthan Royals,1
2022,KS Sharma,Lucknow Super Giants,1
2023,KS Sharma,Lucknow Super Giants,2
2015,KS Williamson,Sunrisers Hyderabad,1
2016,KS Williamson,Sunrisers Hyderabad,2
2017,KS Williamson,Sunrisers Hyderabad,3
2018,KS Williamson,Sunrisers Hyderabad,4
2019,KS Williamson,Sunrisers Hyderabad,5
2020,KS Williamson,Sunrisers Hyderabad,6
2021,KS Williamson,Sunrisers Hyderabad,7
2022,KS Williamson,Sunrisers Hyderabad,8
2024,KS Williamson,Gujarat Titans,1
2024,KT Maphaka,Mumbai Indians,1
2025,KT Maphaka,Rajasthan Royals,1
2009,KV Sharma,Royal Challengers Bengaluru,1
2013,KV Sharma,Sunrisers Hyderabad,1
2014,KV Sharma,Sunrisers Hyderabad,2
2015,KV Sharma,Sunrisers Hyderabad,3
2016,KV Sharma,Sunrisers Hyderabad,4
2017,KV Sharma,Mumbai Indians,1
2018,KV Sharma,Chennai Super Kings,1
2019,KV Sharma,Chennai Super Kings,2
2020,KV Sharma,Chennai Super Kings,3
2023,KV Sharma,Royal Challengers Bengaluru,1
2024,KV Sharma,Royal Challengers Bengaluru,2
2025,KV Sharma,Mumbai Indians,1
2013,KW Richardson,Pune Warriors,1
2014,KW Richardson,Rajasthan Royals,1
2016,KW Richardson,Royal Challengers Bengaluru,1
2021,KW Richardson,Royal Challengers Bengaluru,1
2008,Kamran Akmal,Rajasthan Royals,1
2009,Kamran Khan,Rajasthan Royals,1
2010,Kamran Khan,Rajasthan Royals,2
2011,Kamran Khan,Pune Warriors,1
2014,Karanveer Singh,Punjab Kings,1
2015,Karanveer Singh,Punjab Kings,2
2025,Karim Janat,Gujarat Titans,1
2020,Kartik Tyagi,Rajasthan Royals,1
2021,Kartik Tyagi,Rajasthan Royals,2
2022,Kartik Tyagi,Sunrisers Hyderabad,1
2023,Kartik Tyagi,Sunrisers Hyderabad,2
2024,Kartik Tyagi,Gujarat Titans,1
2016,Kuldeep Yadav,Kolkata Knight Riders,1
2017,Kuldeep Yadav,Kolkata Knight Riders,2
2018,Kuldeep Yadav,Kolkata Knight Riders,3
2019,Kuldeep Yadav,Kolkata Knight Riders,4
2020,Kuldeep Yadav,Kolkata Knight Riders,5
2022,Kuldeep Yadav,Delhi Capitals,1
2023,Kuldeep Yadav,Delhi Capitals,2
2024,Kuldeep Yadav,Delhi Capitals,3
2025,Kuldeep Yadav,Delhi Capitals,4
2024,Kumar Kushagra,Delhi Capitals,1
2010,L Ablish,Punjab Kings,1
2011,L Ablish,Punjab Kings,2
2008,L Balaji,Chennai Super Kings,1
2009,L Balaji,Chennai Super Kings,2
2010,L Balaji,Chennai Super Kings,3
2011,L Balaji,Kolkata Knight Riders,1
2012,L Balaji,Kolkata Knight Riders,2
2013,L Balaji,Kolkata Knight Riders,3
2014,L Balaji,Punjab Kings,1
2018,L Ngidi,Chennai Super Kings,1
2020,L Ngidi,Chennai Super Kings,1
2021,L Ngidi,Chennai Super Kings,2
2025,L Ngidi,Royal Challengers Bengaluru,1
2008,L Ronchi,Mumbai Indians,1
2009,L Ronchi,Mumbai Indians,2
2024,L Wood,Mumbai Indians,1
2009,LA Carseldine,Rajasthan Royals,1
2008,LA Pomersbach,Punjab Kings,1
2009,LA Pomersbach,Punjab Kings,2
2011,LA Pomersbach,Royal Challengers Bengaluru,1
2013,LA Pomersbach,Punjab Kings,1
2024,LB Williams,Delhi Capitals,1
2018,LE Plunkett,Delhi Capitals,1
2017,LH Ferguson,Rising Pune Supergiant,1
2019,LH Ferguson,Kolkata Knight Riders,1
2020,LH Ferguson,Kolkata Knight Riders,2
2021,LH Ferguson,Kolkata Knight Riders,3
2022,LH Ferguson,Gujarat Titans,1
2023,LH Ferguson,Kolkata Knight Riders,1
2024,LH Ferguson,Royal Challengers Bengaluru,1
2025,LH Ferguson,Punjab Kings,1
2021,LI Meriwala,Delhi Capitals,1
2012,LJ Wright,Pune Warriors,1
2013,LJ Wright,Pune Warriors,2
2014,LMP Simmons,Mumbai Indians,1
2015,LMP Simmons,Mumbai Indians,2
2016,LMP Simmons,Mumbai Indians,3
2017,LMP Simmons,Mumbai Indians,4
2008,LPC Silva,Deccan Chargers,1
2008,LR Shukla,Kolkata Knight Riders,1
2009,LR Shukla,Kolkata Knight Riders,2
2010,LR Shukla,Kolkata Knight Riders,3
2011,LR Shukla,Kolkata Knight Riders,4
2012,LR Shukla,Kolkata Knight Riders,5
2013,LR Shukla,Kolkata Knight Riders,6
2014,LR Shukla,Delhi Capitals,1
2008,LRPL Taylor,Royal Challengers Bengaluru,1
2009,LRPL Taylor,Royal Challengers Bengaluru,2
2010,LRPL Taylor,Royal Challengers Bengaluru,3
2011,LRPL Taylor,Rajasthan Royals,1
2012,LRPL Taylor,Delhi Capitals,1
2013,LRPL Taylor,Pune Warriors,1
2014,LRPL Taylor,Delhi Capitals,1
2019,LS Livingstone,Rajasthan Royals,1
2021,LS Livingstone,Rajasthan Royals,1
2022,LS Livingstone,Punjab Kings,1
2023,LS Livingstone,Punjab Kings,2
2024,LS Livingstone,Punjab Kings,3
2025,LS Livingstone,Royal Challengers Bengaluru,1
2021,Lalit Yadav,Delhi Capitals,1
2022,Lalit Yadav,Delhi Capitals,2
2023,Lalit Yadav,Delhi Capitals,3
2024,Lalit Yadav,Delhi Capitals,4
2023,Liton Das,Kolkata Knight Riders,1
2016,M Ashwin,Rising Pune Supergiant,1
2018,M Ashwin,Royal Challengers Bengaluru,1
2019,M Ashwin,Punjab Kings,1
2020,M Ashwin,Punjab Kings,2
2021,M Ashwin,Punjab Kings,3
2022,M Ashwin,Mumbai Indians,1
2023,M Ashwin,Rajasthan Royals,1
2021,M Jansen,Mumbai Indians,1
2022,M Jansen,Sunrisers Hyderabad,1
2023,M Jansen,Sunrisers Hyderabad,2
2024,M Jansen,Sunrisers Hyderabad,3
2025,M Jansen,Punjab Kings,1
2008,M Kaif,Rajasthan Royals,1
2010,M Kaif,Punjab Kings,1
2011,M Kaif,Royal Challengers Bengaluru,1
2012,M Kaif,Royal Challengers Bengaluru,2
2008,M Kartik,Kolkata Knight Riders,1
2009,M Kartik,Kolkata Knight Riders,2
2010,M Kartik,Kolkata Knight Riders,3
2011,M Kartik,Pune Warriors,1
2012,M Kartik,Pune Warriors,2
2013,M Kartik,Royal Challengers Bengaluru,1
2014,M Kartik,Punjab Kings,1
2011,M Klinger,Kochi Tuskers Kerala,1
2009,M Manhas,Delhi Capitals,1
2010,M Manhas,Delhi Capitals,2
2011,M Manhas,Pune Warriors,1
2012,M Manhas,Pune Warriors,2
2013,M Manhas,Pune Warriors,3
2014,M Manhas,Chennai Super Kings,1
2018,M Markande,Mumbai Indians,1
2019,M Markande,Mumbai Indians,2
2021,M Markande,Rajasthan Royals,1
2022,M Markande,Mumbai Indians,1
2023,M Markande,Sunrisers Hyderabad,1
2024,M Markande,Sunrisers Hyderabad,2
2009,M Morkel,Rajasthan Royals,1
2010,M Morkel,Rajasthan Royals,2
2011,M Morkel,Delhi Capitals,1
2012,M Morkel,Delhi Capitals,2
2013,M Morkel,Delhi Capitals,3
2014,M Morkel,Kolkata Knight Riders,1
2015,M Morkel,Kolkata Knight Riders,2
2016,M Morkel,Kolkata Knight Riders,3
2008,M Muralitharan,Chennai Super Kings,1
2009,M Muralitharan,Chennai Super Kings,2
2010,M Muralitharan,Chennai Super Kings,3
2011,M Muralitharan,Kochi Tuskers Kerala,1
2012,M Muralitharan,Royal Challengers Bengaluru,1
2013,M Muralitharan,Royal Challengers Bengaluru,2
2014,M Muralitharan,Royal Challengers Bengaluru,3
2008,M Ntini,Chennai Super Kings,1
2022,M Pathirana,Chennai Super Kings,1
2023,M Pathirana,Chennai Super Kings,2
2024,M Pathirana,Chennai Super Kings,3
2025,M Pathirana,Chennai Super Kings,4
2018,M Prasidh Krishna,Kolkata Knight Riders,1
2019,M Prasidh Krishna,Kolkata Knight Riders,2
2020,M Prasidh Krishna,Kolkata Knight Riders,3
2021,M Prasidh Krishna,Kolkata Knight Riders,4
2022,M Prasidh Krishna,Rajasthan Royals,1
2025,M Prasidh Krishna,Gujarat Titans,1
2008,M Rawat,Rajasthan Royals,1
2009,M Rawat,Rajasthan Royals,2
2013,M Rawat,Pune Warriors,1
2021,M Shahrukh Khan,Punjab Kings,1
2022,M Shahrukh Khan,Punjab Kings,2
2023,M Shahrukh Khan,Punjab Kings,3
2024,M Shahrukh Khan,Gujarat Titans,1
2025,M Shahrukh Khan,Gujarat Titans,2
2024,M Siddharth,Lucknow Super Giants,1
2025,M Siddharth,Lucknow Super Giants,2
2022,M Theekshana,Chennai Super Kings,1
2023,M Theekshana,Chennai Super Kings,2
2024,M Theekshana,Chennai Super Kings,3
2025,M Theekshana,Rajasthan Royals,1
2025,M Tiwari,Delhi Capitals,1
2009,M Vijay,Chennai Super Kings,1
2010,M Vijay,Chennai Super Kings,2
2011,M Vijay,Chennai Super Kings,3
2012,M Vijay,Chennai Super Kings,4
2013,M Vijay,Chennai Super Kings,5
2014,M Vijay,Delhi Capitals,1
2015,M Vijay,Punjab Kings,1
2016,M Vijay,Punjab Kings,2
2018,M Vijay,Chennai Super Kings,1
2019,M Vijay,Chennai Super Kings,2
2020,M Vijay,Chennai Super Kings,3
2013,M Vohra,Punjab Kings,1
2014,M Vohra,Punjab Kings,2
2015,M Vohra,Punjab Kings,3
2016,M Vohra,Punjab Kings,4
2017,M Vohra,Punjab Kings,5
2018,M Vohra,Royal Challengers Bengaluru,1
2021,M Vohra,Rajasthan Royals,1
2022,M Vohra,Lucknow Super Giants,1
2023,M Vohra,Lucknow Super Giants,2
2012,M de Lange,Kolkata Knight Riders,1
2014,M de Lange,Mumbai Indians,1
2015,M de Lange,Mumbai Indians,2
2011,MA Agarwal,Royal Challengers Bengaluru,1
2012,MA Agarwal,Royal Challengers Bengaluru,2
2013,MA Agarwal,Royal Challengers Bengaluru,3
2014,MA Agarwal,Delhi Capitals,1
2015,MA Agarwal,Delhi Capitals,2
2016,MA Agarwal,Delhi Capitals,3
2017,MA Agarwal,Rising Pune Supergiant,1
2018,MA Agarwal,Punjab Kings,1
2019,MA Agarwal,Punjab Kings,2
2020,MA Agarwal,Punjab Kings,3
2021,MA Agarwal,Punjab Kings,4
2022,MA Agarwal,Punjab Kings,5
2023,MA Agarwal,Sunrisers Hyderabad,1
2024,MA Agarwal,Sunrisers Hyderabad,2
2025,MA Agarwal,Royal Challengers Bengaluru,1
2008,MA Khote,Mumbai Indians,1
2014,MA Starc,Royal Challengers Bengaluru,1
2015,MA Starc,Royal Challengers Bengaluru,2
2024,MA Starc,Kolkata Knight Riders,1
2025,MA Starc,Delhi Capitals,1
2018,MA Wood,Chennai Super Kings,1
2023,MA Wood,Lucknow Super Giants,1
2010,MB Parmar,Kolkata Knight Riders,1
2009,MC Henriques,Kolkata Knight Riders,1
2010,MC Henriques,Delhi Capitals,1
2013,MC Henriques,Royal Challengers Bengaluru,1
2014,MC Henriques,Sunrisers Hyderabad,1
2015,MC Henriques,Sunrisers Hyderabad,2
2016,MC Henriques,Sunrisers Hyderabad,3
2017,MC Henriques,Sunrisers Hyderabad,4
2021,MC Henriques,Punjab Kings,1
2013,MC Juneja,Delhi Capitals,1
2010,MD Mishra,Deccan Chargers,1
2011,MD Mishra,Pune Warriors,1
2012,MD Mishra,Pune Warriors,2
2023,MD Shanaka,Gujarat Titans,1
2013,MDKJ Perera,Rajasthan Royals,1
2008,MEK Hussey,Chennai Super Kings,1
2010,MEK Hussey,Chennai Super Kings,1
2011,MEK Hussey,Chennai Super Kings,2
2012,MEK Hussey,Chennai Super Kings,3
2013,MEK Hussey,Chennai Super Kings,4
2014,MEK Hussey,Mumbai Indians,1
2015,MEK Hussey,Chennai Super Kings,1
2008,MF Maharoof,Delhi Capitals,1
2009,MF Maharoof,Delhi Capitals,2
2010,MF Maharoof,Delhi Capitals,3
2023,MG Bracewell,Royal Challengers Bengaluru,1
2013,MG Johnson,Mumbai Indians,1
2014,MG Johnson,Punjab Kings,1
2015,MG Johnson,Punjab Kings,2
2016,MG Johnson,Punjab Kings,3
2017,MG Johnson,Mumbai Indians,1
2018,MG Johnson,Kolkata Knight Riders,1
2013,MG Neser,Punjab Kings,1
2012,MJ Clarke,Pune Warriors,1
2016,MJ Guptill,Mumbai Indians,1
2017,MJ Guptill,Punjab Kings,1
2019,MJ Guptill,Sunrisers Hyderabad,1
2017,MJ Henry,Punjab Kings,1
2024,MJ Henry,Lucknow Super Giants,1
2010,MJ Lumb,Rajasthan Royals,1
2011,MJ Lumb,Deccan Chargers,1
2015,MJ McClenaghan,Mumbai Indians,1
2016,MJ McClenaghan,Mumbai Indians,2
2017,MJ McClenaghan,Mumbai Indians,3
2018,MJ McClenaghan,Mumbai Indians,4
2019,MJ McClenaghan,Mumbai Indians,5
2025,MJ Owen,Punjab Kings,1
2019,MJ Santner,Chennai Super Kings,1
2020,MJ Santner,Chennai Super Kings,2
2022,MJ Santner,Chennai Super Kings,1
2023,MJ Santner,Chennai Super Kings,2
2024,MJ Santner,Chennai Super Kings,3
2025,MJ Santner,Mumbai Indians,1
2024,MJ Suthar,Gujarat Titans,1
2018,MK Lomror,Rajasthan Royals,1
2019,MK Lomror,Rajasthan Royals,2
2020,MK Lomror,Rajasthan Royals,3
2021,MK Lomror,Rajasthan Royals,4
2022,MK Lomror,Royal Challengers Bengaluru,1
2023,MK Lomror,Royal Challengers Bengaluru,2
2024,MK Lomror,Royal Challengers Bengaluru,3
2008,MK Pandey,Mumbai Indians,1
2009,MK Pandey,Royal Challengers Bengaluru,1
2010,MK Pandey,Royal Challengers Bengaluru,2
2011,MK Pandey,Pune Warriors,1
2012,MK Pandey,Pune Warriors,2
2013,MK Pandey,Pune Warriors,3
2014,MK Pandey,Kolkata Knight Riders,1
2015,MK Pandey,Kolkata Knight Riders,2
2016,MK Pandey,Kolkata Knight Riders,3
2017,MK Pandey,Kolkata Knight Riders,4
2018,MK Pandey,Sunrisers Hyderabad,1
2019,MK Pandey,Sunrisers Hyderabad,2
2020,MK Pandey,Sunrisers Hyderabad,3
2021,MK Pandey,Sunrisers Hyderabad,4
2022,MK Pandey,Lucknow Super Giants,1
2023,MK Pandey,Delhi Capitals,1
2024,MK Pandey,Kolkata Knight Riders,1
2025,MK Pandey,Kolkata Knight Riders,2
2008,MK Tiwary,Delhi Capitals,1
2009,MK Tiwary,Delhi Capitals,2
2010,MK Tiwary,Kolkata Knight Riders,1
2011,MK Tiwary,Kolkata Knight Riders,2
2012,MK Tiwary,Kolkata Knight Riders,3
2013,MK Tiwary,Kolkata Knight Riders,4
2014,MK Tiwary,Delhi Capitals,1
2015,MK Tiwary,Delhi Capitals,2
2017,MK Tiwary,Rising Pune Supergiant,1
2018,MK Tiwary,Punjab Kings,1
2008,ML Hayden,Chennai Super Kings,1
2009,ML Hayden,Chennai Super Kings,2
2010,ML Hayden,Chennai Super Kings,3
2018,MM Ali,Royal Challengers Bengaluru,1
2019,MM Ali,Royal Challengers Bengaluru,2
2020,MM Ali,Royal Challengers Bengaluru,3
2021,MM Ali,Chennai Super Kings,1
2022,MM Ali,Chennai Super Kings,2
2023,MM Ali,Chennai Super Kings,3
2024,MM Ali,Chennai Super Kings,4
2025,MM Ali,Kolkata Knight Riders,1
2008,MM Patel,Rajasthan Royals,1
2009,MM Patel,Rajasthan Royals,2
2010,MM Patel,Rajasthan Royals,3
2011,MM Patel,Mumbai Indians,1
2012,MM Patel,Mumbai Indians,2
2013,MM Patel,Mumbai Indians,3
2017,MM Patel,Gujarat Lions,1
2013,MM Sharma,Chennai Super Kings,1
2014,MM Sharma,Chennai Super Kings,2
2015,MM Sharma,Chennai Super Kings,3
2016,MM Sharma,Punjab Kings,1
2017,MM Sharma,Punjab Kings,2
2018,MM Sharma,Punjab Kings,3
2019,MM Sharma,Chennai Super Kings,1
2020,MM Sharma,Delhi Capitals,1
2023,MM Sharma,Gujarat Titans,1
2024,MM Sharma,Gujarat Titans,2
2025,MM Sharma,Delhi Capitals,1
2012,MN Samuels,Pune Warriors,1
2013,MN Samuels,Pune Warriors,2
2017,MN Samuels,Delhi Capitals,1
2009,MN van Wyk,Kolkata Knight Riders,1
2025,MP Breetzke,Lucknow Super Giants,1
2016,MP Stoinis,Punjab Kings,1
2017,MP Stoinis,Punjab Kings,2
2018,MP Stoinis,Punjab Kings,3
2019,MP Stoinis,Royal Challengers Bengaluru,1
2020,MP Stoinis,Delhi Capitals,1
2021,MP Stoinis,Delhi Capitals,2
2022,MP Stoinis,Lucknow Super Giants,1
2023,MP Stoinis,Lucknow Super Giants,2
2024,MP Stoinis,Lucknow Super Giants,3
2025,MP Stoinis,Punjab Kings,1
2024,MP Yadav,Lucknow Super Giants,1
2025,MP Yadav,Lucknow Super Giants,2
2010,MR Marsh,Deccan Chargers,1
2011,MR Marsh,Pune Warriors,1
2013,MR Marsh,Pune Warriors,1
2016,MR Marsh,Rising Pune Supergiant,1
2020,MR Marsh,Sunrisers Hyderabad,1
2022,MR Marsh,Delhi Capitals,1
2023,MR Marsh,Delhi Capitals,2
2024,MR Marsh,Delhi Capitals,3
2025,MR Marsh,Lucknow Super Giants,1
2025,MS Bhandage,Royal Challengers Bengaluru,1
2010,MS Bisla,Punjab Kings,1
2011,MS Bisla,Kolkata Knight Riders,1
2012,MS Bisla,Kolkata Knight Riders,2
2013,MS Bisla,Kolkata Knight Riders,3
2014,MS Bisla,Kolkata Knight Riders,4
2015,MS Bisla,Royal Challengers Bengaluru,1
2008,MS Dhoni,Chennai Super Kings,1
2009,MS Dhoni,Chennai Super Kings,2
2010,MS Dhoni,Chennai Super Kings,3
2011,MS Dhoni,Chennai Super Kings,4
2012,MS Dhoni,Chennai Super Kings,5
2013,MS Dhoni,Chennai Super Kings,6
2014,MS Dhoni,Chennai Super Kings,7
2015,MS Dhoni,Chennai Super Kings,8
2016,MS Dhoni,Rising Pune Supergiant,1
2017,MS Dhoni,Rising Pune Supergiant,2
2018,MS Dhoni,Chennai Super Kings,1
2019,MS Dhoni,Chennai Super Kings,2
2020,MS Dhoni,Chennai Super Kings,3
2021,MS Dhoni,Chennai Super Kings,4
2022,MS Dhoni,Chennai Super Kings,5
2023,MS Dhoni,Chennai Super Kings,6
2024,MS Dhoni,Chennai Super Kings,7
2025,MS Dhoni,Chennai Super Kings,8
2008,MS Gony,Chennai Super Kings,1
2009,MS Gony,Chennai Super Kings,2
2010,MS Gony,Chennai Super Kings,3
2011,MS Gony,Deccan Chargers,1
2012,MS Gony,Deccan Chargers,2
2013,MS Gony,Punjab Kings,1
2017,MS Gony,Gujarat Lions,1
2011,MS Wade,Delhi Capitals,1
2022,MS Wade,Gujarat Titans,1
2024,MS Wade,Gujarat Titans,1
2008,MV Boucher,Royal Challengers Bengaluru,1
2009,MV Boucher,Royal Challengers Bengaluru,2
2010,MV Boucher,Royal Challengers Bengaluru,3
2011,MV Boucher,Kolkata Knight Riders,1
2023,MW Short,Punjab Kings,1
2010,Mandeep Singh,Kolkata Knight Riders,1
2011,Mandeep Singh,Punjab Kings,1
2012,Mandeep Singh,Punjab Kings,2
2013,Mandeep Singh,Punjab Kings,3
2014,Mandeep Singh,Punjab Kings,4
2015,Mandeep Singh,Royal Challengers Bengaluru,1
2017,Mandeep Singh,Royal Challengers Bengaluru,1
2018,Mandeep Singh,Royal Challengers Bengaluru,2
2019,Mandeep Singh,Punjab Kings,1
2020,Mandeep Singh,Punjab Kings,2
2021,Mandeep Singh,Punjab Kings,3
2022,Mandeep Singh,Delhi Capitals,1
2023,Mandeep Singh,Kolkata Knight Riders,1
2009,Mashrafe Mortaza,Kolkata Knight Riders,1
2023,Mayank Dagar,Sunrisers Hyderabad,1
2024,Mayank Dagar,Royal Challengers Bengaluru,1
2008,Misbah-ul-Haq,Royal Challengers Bengaluru,1
2009,Mohammad Ashraful,Mumbai Indians,1
2008,Mohammad Asif,Delhi Capitals,1
2008,Mohammad Hafeez,Kolkata Knight Riders,1
2017,Mohammad Nabi,Sunrisers Hyderabad,1
2018,Mohammad Nabi,Sunrisers Hyderabad,2
2019,Mohammad Nabi,Sunrisers Hyderabad,3
2020,Mohammad Nabi,Sunrisers Hyderabad,4
2021,Mohammad Nabi,Sunrisers Hyderabad,5
2024,Mohammad Nabi,Mumbai Indians,1
2013,Mohammed Shami,Kolkata Knight Riders,1
2014,Mohammed Shami,Delhi Capitals,1
2016,Mohammed Shami,Delhi Capitals,1
2017,Mohammed Shami,Delhi Capitals,2
2018,Mohammed Shami,Delhi Capitals,3
2019,Mohammed Shami,Punjab Kings,1
2020,Mohammed Shami,Punjab Kings,2
2021,Mohammed Shami,Punjab Kings,3
2022,Mohammed Shami,Gujarat Titans,1
2023,Mohammed Shami,Gujarat Titans,2
2025,Mohammed Shami,Sunrisers Hyderabad,1
2017,Mohammed Siraj,Sunrisers Hyderabad,1
2018,Mohammed Siraj,Royal Challengers Bengaluru,1
2019,Mohammed Siraj,Royal Challengers Bengaluru,2
2020,Mohammed Siraj,Royal Challengers Bengaluru,3
2021,Mohammed Siraj,Royal Challengers Bengaluru,4
2022,Mohammed Siraj,Royal Challengers Bengaluru,5
2023,Mohammed Siraj,Royal Challengers Bengaluru,6
2024,Mohammed Siraj,Royal Challengers Bengaluru,7
2025,Mohammed Siraj,Gujarat Titans,1
2023,Mohit Rathee,Punjab Kings,1
2022,Mohsin Khan,Lucknow Super Giants,1
2023,Mohsin Khan,Lucknow Super Giants,2
2024,Mohsin Khan,Lucknow Super Giants,3
2020,Monu Kumar,Chennai Super Kings,1
2018,Mujeeb Ur Rahman,Punjab Kings,1
2019,Mujeeb Ur Rahman,Punjab Kings,2
2020,Mujeeb Ur Rahman,Punjab Kings,3
2021,Mujeeb Ur Rahman,Sunrisers Hyderabad,1
2025,Mujeeb Ur Rahman,Mumbai Indians,1
2022,Mukesh Choudhary,Chennai Super Kings,1
2024,Mukesh Choudhary,Chennai Super Kings,1
2025,Mukesh Choudhary,Chennai Super Kings,2
2023,Mukesh Kumar,Delhi Capitals,1
2024,Mukesh Kumar,Delhi Capitals,2
2025,Mukesh Kumar,Delhi Capitals,3
2025,Musheer Khan,Punjab Kings,1
2016,Mustafizur Rahman,Sunrisers Hyderabad,1
2017,Mustafizur Rahman,Sunrisers Hyderabad,2
2018,Mustafizur Rahman,Mumbai Indians,1
